,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,Age,ORtg,DRtg,Pace,ph_FG,ph_FGA,ph_FGpct,ph_3P,ph_3Ppct,ph_2P,ph_2PA,ph_2Ppct,ph_FT,ph_FTA,ph_FTpct,ph_ORB,ph_DRB,ph_TRB,ph_AST,ph_STL,ph_BLK,ph_TOV,ph_PF,Year,PctWin,ph_shotmisspct,Shots,3PA/Shots
42,Boston Celtics,82,242.4,38.9,87.9,0.44299999999999995,8.0,24.6,32.7,30.9,63.3,48.8,15.4,20.5,0.754,11.1,32.7,43.8,24.5,8.2,3.6,13.8,21.2,101.4,40.0,25.0,104.7,104.5,95.8,40.2,90.8,0.44299999999999995,8.3,0.327,31.9,65.4,0.488,15.9,21.1,0.754,11.5,33.8,45.3,25.3,8.5,3.7,14.3,21.9,2015,48.78048780487805,0.49865951742627346,87.9,27.986348122866893
43,Sacramento Kings,82,242.1,36.7,80.7,0.455,5.6,16.5,34.1,31.1,64.2,48.4,22.3,29.3,0.762,10.9,33.3,44.2,20.3,6.7,4.0,16.3,20.7,101.3,29.0,26.0,105.3,109.2,95.4,38.2,83.9,0.455,5.8,0.341,32.3,66.8,0.484,23.2,30.4,0.762,11.3,34.6,45.9,21.1,7.0,4.1,16.9,21.5,2015,35.36585365853659,0.46281714785651795,80.7,20.44609665427509
44,Chicago Bulls,82,242.4,36.6,82.9,0.442,7.9,22.3,35.3,28.7,60.6,47.4,19.7,25.2,0.7829999999999999,11.7,34.0,45.7,21.7,6.3,5.8,14.0,18.2,100.8,50.0,28.8,107.5,104.3,92.8,39.0,88.4,0.442,8.4,0.353,30.7,64.7,0.474,21.1,26.9,0.7829999999999999,12.5,36.3,48.8,23.2,6.7,6.2,14.9,19.5,2015,60.97560975609756,0.4787510841283608,82.9,26.89987937273824
45,New Orleans Pelicans,82,241.2,37.9,82.9,0.457,7.1,19.3,37.0,30.8,63.6,48.4,16.4,21.8,0.7509999999999999,11.5,32.0,43.5,22.0,6.7,6.2,13.3,18.7,99.4,45.0,25.3,108.2,107.3,91.4,41.3,90.2,0.457,7.8,0.37,33.5,69.2,0.484,17.9,23.8,0.7509999999999999,12.5,34.8,47.3,24.0,7.3,6.8,14.4,20.3,2015,54.87804878048781,0.48070175438596496,82.9,23.2810615199035
46,Washington Wizards,82,243.4,38.3,82.8,0.462,6.1,16.8,36.0,32.2,66.0,48.8,15.9,21.4,0.742,10.5,34.2,44.7,24.0,7.3,4.6,15.0,20.8,98.5,46.0,28.6,103.7,103.0,93.7,40.3,87.2,0.462,6.4,0.36,33.9,69.4,0.488,16.8,22.6,0.742,11.1,36.0,47.0,25.3,7.7,4.9,15.8,21.9,2015,56.09756097560976,0.4799635701275047,82.8,20.28985507246377
47,Detroit Pistons,82,241.8,37.1,85.8,0.43200000000000005,8.6,24.9,34.4,28.5,60.9,46.8,15.8,22.4,0.703,12.8,32.1,44.9,21.6,7.6,4.7,13.4,19.0,98.5,32.0,25.9,105.3,106.4,92.8,39.7,91.8,0.43200000000000005,9.2,0.344,30.5,65.1,0.46799999999999997,16.8,24.0,0.703,13.7,34.3,48.0,23.1,8.1,5.0,14.3,20.3,2015,39.02439024390244,0.5120898100172712,85.8,29.02097902097902
48,Los Angeles Lakers,82,243.0,37.2,85.6,0.435,6.5,18.9,34.4,30.8,66.8,46.1,17.5,23.6,0.741,11.6,32.3,43.9,20.9,7.0,4.5,13.2,21.2,98.5,21.0,27.0,103.4,110.6,94.0,39.1,89.9,0.435,6.8,0.344,32.3,70.1,0.461,18.4,24.8,0.741,12.2,33.9,46.1,22.0,7.4,4.7,13.9,22.3,2015,25.609756097560975,0.4986922406277245,85.69999999999999,22.053675612602103
49,Memphis Grizzlies,82,242.7,37.8,82.5,0.45799999999999996,5.2,15.2,33.9,32.6,67.3,48.5,17.6,22.8,0.773,10.4,32.1,42.6,21.7,8.5,4.2,13.3,19.1,98.3,55.0,29.6,105.7,102.2,92.0,40.6,88.7,0.45799999999999996,5.5,0.33899999999999997,35.1,72.3,0.485,18.9,24.5,0.773,11.2,34.5,45.8,23.3,9.2,4.5,14.3,20.5,2015,67.07317073170732,0.47438162544169615,82.5,18.424242424242422
50,Brooklyn Nets,82,243.0,37.4,83.0,0.451,6.6,19.9,33.1,30.8,63.1,48.9,16.6,22.2,0.748,10.3,32.0,42.4,20.9,7.0,4.1,13.8,19.3,98.0,38.0,28.6,104.4,107.4,92.7,39.9,88.4,0.451,7.0,0.331,32.8,67.2,0.489,17.6,23.6,0.748,11.0,34.1,45.1,22.3,7.5,4.4,14.7,20.5,2015,46.34146341463415,0.48660714285714285,83.0,23.97590361445783
51,Milwaukee Bucks,82,243.0,37.6,82.0,0.45899999999999996,6.6,18.3,36.3,31.0,63.7,48.6,16.0,21.1,0.757,10.7,31.4,42.1,23.6,9.6,4.9,16.7,22.1,97.8,41.0,24.6,102.7,102.2,94.1,39.5,86.0,0.45899999999999996,7.0,0.363,32.5,66.8,0.486,16.8,22.2,0.757,11.2,32.9,44.2,24.7,10.1,5.2,17.6,23.2,2015,50.0,0.47966728280961185,82.0,22.317073170731707
